"CLOSE","INFLATION","XAUUSD","USDPLN","WIG20","S&P500","UNEMPLOYMENT","PMI","OIL","log_XAUUSD","log_WIG20","log_S&P500","log_PMI","log_OIL","log_USDPLN"
0.521999999999999,0.0060000000000001,NA,0.0928400000000003,-48.8099999999999,NA,0.001,50.7,13.27,-0.0515189935155647,-0.017988621958847,0.007654154967355,3.92592591059714,0.205392426494496,0.0242906797538742
0.032,0,-103.205,0.17555,-109.53,299.86,0.001,50.6,-1.73999999999999,-0.0898295523062007,-0.0415846362737211,0.0592668027819698,3.92395157629342,-0.0246471399989687,0.0443781469449567
0.0760000000000005,0,214.665,0.0225999999999997,-145.75,-256.62,0,48.8,2.75999999999999,-0.0189761228937364,-0.0581618396716621,0.0143445202155199,3.8877303128591,0.0388179800798669,0.00557269349937672
0.0350000000000001,-0.0020000000000001,-123.03,0.0631300000000001,-241.76,-244.929999999999,-0.003,48.2,-0.75,-0.0651536672732167,-0.104622564322278,-0.0266578220623828,3.87535902105655,-0.0104001492086496,0.0154040082578917
-0.352,0,202.565,-0.0711599999999999,-0.890000000000327,309.65,-0.000999999999999994,48.9,-3.72,0.00980853506578239,-0.000406102493985649,0.025307691689834,3.88977739648083,-0.0532466925250867,-0.0173804856284823
0.435,0.003,69.8800000000001,-0.0604800000000001,14.3499999999999,-477.68,-0.001,49.2,1.27000000000001,0.0354886352286439,0.00652780948742926,-0.0557197676885277,3.89589362349826,0.01849881606024,-0.0150132023325638
-0.706,-0.000999999999999904,-207.22,-0.15324,118.66,383.96,0.001,48.6,-1.15000000000001,-0.0414373509256114,0.0524051373504548,0.00994607922055124,3.88362353090645,-0.0167361834064694,-0.039080162941487
0.177,-0.0060000000000001,-20.7250000000004,0.02887,88.0299999999997,-171.11,0,47.8,5.42999999999999,-0.051476391580457,0.0371768361935212,-0.0199956183879486,3.86702563949741,0.0766729217113529,0.00748030750690321
-0.0129999999999999,-0.000999999999999994,77.2950000000001,0.0882700000000001,9.32999999999993,-12.0199999999995,0,47.3,4.34,-0.0221819210831384,0.00386044152434994,-0.0225778790387405,3.85651029549789,0.0573169803985936,0.0225299884233874
0.314,-0.0160000000000001,-67.5549999999998,0.0628100000000003,139.78,64.2799999999988,-0.001,45,3.61,-0.0513246892460648,0.0561201760467211,-0.0112577421935356,3.80666248977032,0.0452940745717028,0.0157280081660087
-0.0259999999999998,-0.0009999999999999,125.095,-0.0858500000000002,-75.7399999999998,-121.149999999999,0.001,45,-4.53999999999999,0.00113474945606562,-0.0300173127418661,-0.0340823024055705,3.80666248977032,-0.0573027410588693,-0.0215599468756607
0.0149999999999997,-0.0009999999999999,-44.5249999999996,0.123499999999999,-9.24000000000024,-58.8500000000013,0.000999999999999994,45.9,4.91,-0.018157036913335,-0.00372444412777639,-0.0469038380788138,3.8264651170665,0.0618312354264967,0.0308705060562726
-0.279999999999999,-0.0040000000000001,-9.9350000000004,-0.0733999999999995,-40.2399999999998,460.480000000001,0.002,48,1.26000000000001,-0.0229299037957507,-0.0163835972694404,0.0425057474599928,3.87120101090789,0.0152693223568399,-0.0182322267427393
-0.12,0.008,-138.105,0.00429999999999975,-17.9500000000003,-376.740000000001,0.001,47.9,-4.88000000000001,-0.0888433455480326,-0.00739576725815283,-0.030547405358412,3.86911550441687,-0.0604818178221898,0.00107731633408958
-0.0860000000000003,0.009,185.3,0.0101000000000004,-138.24,-92.5400000000009,0,47.1,-2.45,-0.00226506764095991,-0.058868070258109,-0.050427504326926,3.85227300102237,-0.0318022777285583,0.00252588540236953
-0.00900000000000034,NA,28.2900000000002,-0.0694800000000004,63.1299999999997,174.800000000001,-0.003,47.4,-4.17999999999999,0.0115361380563597,0.0273138539118083,-0.0157707304188008,3.85862222870103,-0.0567085328956773,-0.0175065129969034
0.285,0.004,-50.7050000000004,0.0628299999999999,-127.74,-126.21,-0.000999999999999994,48.7,4.40000000000001,-0.0131922692471447,-0.0560626275388385,-0.0432789762940686,3.88567903008854,0.0596059404277174,0.0158441476812312
0.152,0,-24.5049999999997,0.2158,-65.52,-171.97,0,44.5,4.97,-0.0256402939590865,-0.0300230110870556,-0.0854244443875771,3.79548918917219,0.0633130862221716,0.0525834300307213
0.245,0.016,-84.6150000000002,0.15493,-234.13,468.25,0,43.9,9.78,-0.0710734865861991,-0.115311363371902,0.0222248399777722,3.78191432008113,0.113976543541265,0.0361159135853693
-0.329,NA,227.765,-0.24461,111.78,125.36,0,43.1,-7.16000000000001,0.0483678513602621,0.056713429579653,0.0499460877119713,3.7635229971097,-0.082146839990231,-0.0576332650234408
-0.155,0.00699999999999999,-66.125,-0.11917,166.18,-138.309999999999,0,43.5,-1.83,0.0130478824327742,0.0787814757286229,0.0178752470184875,3.77276093809464,-0.022125063784733,-0.0293287844593193
0.345,0.00700000000000001,-70.8700000000001,0.0611000000000006,-133.18,-219.88,0,45.1,-11.16,-0.0233632878166379,-0.0626353629854499,-0.0306639330879594,3.80888224650863,-0.146680687312997,0.0151446691846124
0.262,0.015,88.1350000000002,0.17539,-165.9,-131.97,0.000999999999999994,47,-2.55,0.0220167193893754,-0.0839460372635141,-0.0627189099376153,3.85014760171006,-0.0367661968008299,0.0422409943975368
-0.135000000000001,0.017,-16.4050000000002,-0.0784500000000001,28.6099999999999,260.2,0.001,46.6,8.69,0.013329482311466,0.0149888728379146,-0.00247924805798405,3.8416005411316,0.120113830077776,-0.0186737121671239
